1770619171.256030 server started (20939): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1770619171.256099 on Darwin 25.2.0 Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:55 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T8103
1770619171.256112 using libevent 2.1.12-stable select
1770619171.256127 using utf8proc 2.11.3
1770619171.256136 using ncurses 6.5 20240427
1770619171.256219 input_key_build: 0x10e003 (PasteStart) is \033[200~
1770619171.256231 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1770619171.256275 input_key_build: 0x10e25b (F1) is \033OP
1770619171.256284 input_key_build: 0x10e25c (F2) is \033OQ
1770619171.256292 input_key_build: 0x10e25d (F3) is \033OR
1770619171.256300 input_key_build: 0x10e25e (F4) is \033OS
1770619171.256307 input_key_build: 0x10e25f (F5) is \033[15~
1770619171.256315 input_key_build: 0x10e260 (F6) is \033[17~
1770619171.256323 input_key_build: 0x10e261 (F7) is \033[18~
1770619171.256334 input_key_build: 0x10e262 (F8) is \033[19~
1770619171.256342 input_key_build: 0x10e263 (F9) is \033[20~
1770619171.256350 input_key_build: 0x10e264 (F10) is \033[21~
1770619171.256359 input_key_build: 0x10e265 (F11) is \033[23~
1770619171.256367 input_key_build: 0x10e266 (F12) is \033[24~
1770619171.256374 input_key_build: 0x10e267 (IC) is \033[2~
1770619171.256382 input_key_build: 0x10e268 (DC) is \033[3~
1770619171.256389 input_key_build: 0x10e269 (Home) is \033[1~
1770619171.256397 input_key_build: 0x10e26a (End) is \033[4~
1770619171.256405 input_key_build: 0x10e26b (NPage) is \033[6~
1770619171.256412 input_key_build: 0x10e26c (PPage) is \033[5~
1770619171.256420 input_key_build: 0x10e26d (BTab) is \033[Z
1770619171.256427 input_key_build: 0x10e26e (Up) is \033[A
1770619171.256434 input_key_build: 0x10e26f (Down) is \033[B
1770619171.256442 input_key_build: 0x10e270 (Left) is \033[D
1770619171.256449 input_key_build: 0x10e271 (Right) is \033[C
1770619171.256457 input_key_build: 0x10e272 (KP/) is /
1770619171.256464 input_key_build: 0x10e273 (KP*) is *
1770619171.256472 input_key_build: 0x10e274 (KP-) is -
1770619171.256479 input_key_build: 0x10e275 (KP7) is 7
1770619171.256486 input_key_build: 0x10e276 (KP8) is 8
1770619171.256493 input_key_build: 0x10e277 (KP9) is 9
1770619171.256501 input_key_build: 0x10e278 (KP+) is +
1770619171.256508 input_key_build: 0x10e279 (KP4) is 4
1770619171.256515 input_key_build: 0x10e27a (KP5) is 5
1770619171.256522 input_key_build: 0x10e27b (KP6) is 6
1770619171.256529 input_key_build: 0x10e27c (KP1) is 1
1770619171.256536 input_key_build: 0x10e27d (KP2) is 2
1770619171.256547 input_key_build: 0x10e27e (KP3) is 3
1770619171.256555 input_key_build: 0x10e27f (KPEnter) is \n
1770619171.256565 input_key_build: 0x10e280 (KP0) is 0
1770619171.256572 input_key_build: 0x10e281 (KP.) is .
1770619171.256581 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1770619171.256590 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1770619171.256598 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1770619171.256606 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1770619171.256613 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1770619171.256621 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1770619171.256628 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1770619171.256635 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1770619171.256645 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1770619171.256653 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1770619171.256661 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1770619171.256668 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1770619171.256676 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1770619171.256683 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1770619171.256691 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1770619171.256698 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1770619171.256705 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1770619171.256713 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1770619171.256720 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1770619171.256736 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1770619171.256742 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1770619171.256748 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1770619171.256753 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1770619171.256759 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1770619171.256764 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1770619171.256770 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1770619171.256776 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1770619171.256781 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1770619171.256787 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1770619171.256793 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1770619171.256798 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1770619171.256804 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1770619171.256809 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1770619171.256814 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1770619171.256820 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1770619171.256825 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1770619171.256831 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1770619171.256836 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1770619171.256842 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1770619171.256847 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1770619171.256853 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1770619171.256858 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1770619171.256864 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1770619171.256869 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1770619171.256875 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1770619171.256880 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1770619171.256886 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1770619171.256891 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1770619171.256897 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1770619171.256902 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1770619171.256908 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1770619171.256914 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1770619171.256919 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1770619171.256925 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1770619171.256930 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1770619171.256936 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1770619171.256941 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1770619171.256947 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1770619171.256952 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1770619171.256958 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1770619171.256963 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1770619171.256969 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1770619171.256975 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1770619171.256980 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1770619171.256986 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1770619171.256992 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1770619171.256997 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1770619171.257003 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1770619171.257009 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1770619171.257014 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1770619171.257020 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1770619171.257026 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1770619171.257031 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1770619171.257036 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1770619171.257042 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1770619171.257057 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1770619171.257063 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1770619171.257069 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1770619171.257075 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1770619171.257081 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1770619171.257086 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1770619171.257092 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1770619171.257097 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1770619171.257103 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1770619171.257111 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1770619171.257117 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1770619171.257123 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1770619171.257128 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1770619171.257137 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1770619171.257143 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1770619171.257149 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1770619171.257154 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1770619171.257159 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1770619171.257165 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1770619171.257170 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1770619171.257176 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1770619171.257181 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1770619171.257186 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1770619171.257192 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1770619171.257197 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1770619171.257202 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1770619171.257208 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1770619171.257213 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1770619171.257218 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1770619171.257224 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1770619171.257229 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1770619171.257235 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1770619171.257240 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1770619171.257246 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1770619171.257251 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1770619171.257256 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1770619171.257262 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
